Geneid	IWPHE1	IWPHE2	IWPHE3	57HED	60HED	67HED	57HER	60HER	67HER	57HPCD	60HPCD	67HPCD	57HPCR	60HPCR	67HPCR
BCL9	668	611	593	315	488	445	413	499	403	164	132	169	256	236	195
ACP6	288	221	224	176	179	166	224	211	195	101	141	136	117	175	125
RN7SL261P	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0
RP11-533N14.3	1	0	1	3	0	0	0	3	0	0	0	0	3	0	0
GJA5	3777	3275	3098	4027	2177	1837	5652	1518	2707	997	473	405	2429	951	438
RP11-433J22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-433J22.3	0	2	0	1	1	0	2	1	2	1	0	0	1	3	0
RP11-314N2.2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GJA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR89B	92	71	67	43	60	62	61	63	44	55	44	40	46	55	50
RP6-74O6.2	8	7	1	3	4	6	9	5	8	1	5	2	3	4	1
PDZK1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XXyac-YX155B6.7	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0
RNU1-129P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-94I2.4	2	1	0	0	2	2	2	3	1	0	0	0	2	1	0
RNVU1-7	3	0	0	0	1	0	2	0	0	3	0	0	1	0	0
PDE4DIPP1	0	0	0	0	1	4	2	6	1	0	0	0	0	0	0
NBPF11	75	89	100	70	60	59	66	67	59	42	33	36	57	33	36
PFN1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-565E6.1	10	8	11	11	8	10	9	3	7	2	1	2	1	1	1
XXyac-YX155B6.5	1	3	1	4	4	1	5	3	2	2	0	2	2	0	0
RNA5SP57	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
RP11-301M17.2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
RP11-301M17.1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
RNU1-120P	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
RP11-495P10.6	1	1	1	0	3	1	2	3	5	2	0	6	6	5	3
RP11-495P10.9	1	1	0	2	0	4	3	0	0	12	0	3	15	5	3
RP11-495P10.8	2	2	1	1	1	2	0	4	1	8	2	4	7	5	1
RP11-495P10.5	0	0	0	0	0	0	0	1	0	6	0	0	1	0	1
RP11-495P10.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-495P10.4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
RP11-495P10.3	1	0	1	1	5	1	0	0	0	1	0	0	1	1	1
RNU1-122P	1	0	0	0	0	0	1	2	3	1	0	0	0	0	1
RP6-74O6.6	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
RNVU1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01138	68	77	73	142	115	101	145	125	158	162	125	144	198	142	152
RNVU1-2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
MIR6077	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
RNU1-13P	0	0	0	0	0	1	3	0	1	0	0	0	2	0	2
RNVU1-3	4	4	3	3	2	1	1	0	2	1	3	1	2	8	3
RP11-495P10.1	51	46	54	57	65	36	29	37	30	34	39	36	55	35	49
RP11-495P10.10	3	1	0	0	0	0	0	0	3	0	0	1	0	1	0
AC245100.1	2	2	1	0	0	0	1	1	1	0	3	1	0	0	7
PPIAL4G	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0
NBPF14	16	16	13	7	10	7	11	10	11	56	50	44	43	42	25
RNU6-1171P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUDT4P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH17-478G19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-725K1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE4DIP	71	58	71	36	58	32	32	31	35	88	66	38	95	89	53
RN7SKP88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU2-38P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-791M13.5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AC239802.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-791M13.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-791M13.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF9	45	61	63	37	60	46	51	48	37	9	2	9	10	14	7
CH17-78J1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU1-59P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH17-189H20.1	12	7	7	15	5	5	13	13	7	32	17	47	28	18	50
WI2-1896O14.1	0	0	0	0	1	0	0	1	0	8	12	5	7	6	9
RP11-326G21.1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
RP11-544O24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF19	19	17	11	15	14	18	10	16	11	21	26	16	23	33	25
PPIAL4C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00869	17	18	16	24	19	12	20	11	18	30	19	20	31	10	18
RP11-353N4.6	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0
RP11-353N4.5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
RNU1-68P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM231D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC243772.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-196G18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR1A	0	0	0	0	0	1	0	0	0	52	100	24	34	42	25
HIST2H2BF	4	3	4	1	1	3	2	4	2	10	12	15	26	15	8
RP11-196G18.3	0	0	0	0	0	0	0	0	0	5	7	2	0	3	2
HIST2H3D	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0
HIST2H4A	0	0	0	0	5	0	0	1	0	0	8	1	0	4	1
HIST2H3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST2H2AA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST2H2BE	77	69	62	301	268	272	267	212	314	603	640	617	793	984	666
AC239868.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST2H2BD	3	6	4	1	1	6	5	9	4	6	6	12	8	11	17
RP11-196G18.22	86	64	51	74	83	74	80	67	60	104	163	139	106	197	197
RP11-196G18.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST2H2BC	4	2	1	3	2	1	4	3	4	5	10	6	22	14	10
HIST2H2AA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC239868.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST2H3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST2H4B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RP11-196G18.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST2H2AC	4	5	6	2	13	3	8	16	3	9	7	19	19	9	12
AC239868.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST2H2AB	2	0	0	1	0	1	0	0	1	0	1	3	3	1	2
BOLA1	93	80	57	39	35	45	35	63	53	29	63	82	60	111	71
SV2A	649	585	504	281	393	299	342	505	381	118	155	167	129	206	159
SF3B4	2352	2196	1995	1255	1756	1511	1251	2040	1724	1015	2125	1670	1942	2670	1949
MTMR11	239	228	225	102	113	120	91	92	78	80	71	47	79	64	44
OTUD7B	530	454	438	450	545	416	494	567	561	365	321	288	366	369	366
RP11-458I7.1	12	14	10	4	4	2	6	6	1	1	5	4	5	3	4
VPS45	1767	1484	1310	1339	1606	1171	1208	1289	1360	1075	1574	1148	1590	1626	1488
PLEKHO1	419	346	312	174	252	194	203	214	248	184	301	178	236	440	282
RN7SL480P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANP32E	7222	6240	5995	11214	12557	10170	11734	11652	11154	14324	18641	11879	19669	16342	16493
RNU2-17P	0	2	0	0	0	0	0	0	0	0	2	2	1	3	0
RP4-790G17.7	4	0	0	0	0	0	1	0	1	0	0	0	0	3	0
CA14	455	396	408	512	718	632	465	778	671	38	27	16	16	21	15
APH1A	2171	1880	1783	1743	2459	1857	1480	2356	1698	918	1669	1250	1161	1866	1598
C1orf54	899	757	759	876	1037	719	809	758	745	46	50	48	95	65	66
CIART	183	181	158	255	244	192	227	238	226	70	79	147	129	112	145
MRPS21	3432	3105	2877	3075	3222	2438	3201	2531	2693	1594	2316	2493	2702	2159	3105
AC242988.1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
PRPF3	2371	2125	2001	1612	2156	1631	1666	1931	1915	1497	1783	1670	2003	1936	1839
RPRD2	1120	1013	896	609	821	685	722	1001	785	642	813	710	776	1062	797
TARS2	1217	1048	948	1047	979	834	945	1039	900	1243	1371	1099	1324	1439	1266
ECM1	1276	1142	1070	581	872	676	424	844	670	187	192	213	256	402	235
FALEC	2	2	0	2	2	0	1	1	0	0	3	1	0	0	2
RP11-54A4.2	2	3	2	1	1	0	1	1	5	1	0	1	6	1	1
ADAMTSL4	26	16	18	41	52	45	40	53	55	95	109	101	118	157	106
MIR4257	0	0	0	0	1	2	1	1	0	0	0	0	2	0	0
ADAMTSL4-AS1	39	37	38	56	74	88	52	78	89	87	105	75	55	67	55
RN7SL473P	21	33	29	71	60	86	72	81	88	47	28	29	19	29	23
RN7SL600P	15	16	16	32	54	56	36	59	63	38	32	25	31	41	23
MCL1	3710	3367	3153	4220	5583	5255	4500	4994	5438	1622	1600	1414	2022	1731	1697
ENSA	2848	2621	2411	3244	3795	3141	2693	2802	2795	1839	3888	3621	4138	3170	5622
U4	9	9	8	16	14	20	23	44	28	4	7	8	6	7	10
GOLPH3L	1266	1059	1090	1043	1352	1186	1190	1354	1216	892	1201	1028	1199	1282	1409
HORMAD1	1	0	0	0	1	0	0	2	0	5	6	5	0	7	4
RNU6-1042P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CTSS	5	3	5	34	19	19	41	25	17	3738	6362	2704	3525	5069	3277
RP11-363I22.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
CTSK	579	545	498	516	925	588	519	630	602	161	97	128	187	109	158
UBE2D3P3	1	1	0	0	1	0	0	1	0	0	0	0	0	0	3
ARNT	2220	2010	1913	1314	1784	1510	1243	1644	1429	1990	2174	1932	2155	2183	2236
RNU6-1309P	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-235D19.2	1	0	3	0	0	1	0	0	0	0	1	0	0	0	0
CYCSP51	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
SETDB1	1564	1407	1275	838	1101	1001	932	1143	1050	810	859	942	822	954	992
CERS2	1804	1760	1547	1104	1444	1163	1293	1605	1332	1287	1475	1604	1940	2056	1688
RP11-316M1.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-316M1.3	1	0	1	0	1	0	0	1	0	0	0	2	0	2	0
ANXA9	103	95	96	26	36	36	35	45	36	97	71	109	156	129	146
FAM63A	230	198	204	199	263	172	173	265	237	678	794	717	771	1030	793
PRUNE	1283	1154	1101	800	990	686	709	966	832	1374	1616	1283	1616	1881	1570
RNU6-884P	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2
BNIPL	32	27	23	23	36	30	25	27	24	22	31	38	47	55	40
C1orf56	619	612	544	731	788	626	770	721	701	610	534	452	782	598	470
CDC42SE1	1058	978	901	918	1257	1064	1126	1112	1072	1404	2002	1757	1931	2238	2173
MLLT11	1987	1793	1556	1927	2253	1597	1560	1814	1723	1703	2137	2173	3262	3046	3495
GABPB2	353	350	294	552	512	407	501	534	467	772	842	681	925	705	842
RP11-68I18.2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0
RP11-68I18.10	6	2	5	1	8	2	8	13	3	1	1	2	0	2	2
SEMA6C	78	69	78	38	52	57	37	64	58	1	9	15	5	7	13
TNFAIP8L2	39	37	34	68	64	48	66	77	43	758	1361	1065	1101	1302	1253
SCNM1	1488	1292	1312	1435	1343	1131	1378	1309	1228	1374	2136	1802	2283	2167	2329
LYSMD1	235	190	190	166	372	230	208	281	260	176	270	232	269	305	318
TMOD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS72	1603	1512	1396	1187	1392	1156	1370	1551	1323	599	1077	918	1190	1239	1229
PIP5K1A	869	770	735	626	602	606	411	471	432	151	578	429	404	366	658
PSMD4	5945	5256	4984	3650	4714	3683	3398	4540	3563	2856	4288	3849	4171	4668	4620
RP11-126K1.2	5	14	14	18	9	12	11	13	6	9	10	15	10	15	22
ZNF687	88	96	63	26	62	49	37	97	64	43	77	58	46	78	69
PI4KB	1137	982	893	433	583	536	456	677	586	463	714	685	741	969	712
RN7SL444P	1	1	0	0	0	4	2	8	2	1	0	5	3	0	1
RP11-126K1.9	1	1	1	0	2	0	2	0	3	0	2	0	6	2	3
RFX5	1515	1329	1288	682	1010	842	752	1021	861	737	1164	1023	1190	1249	1167
RP11-126K1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-126K1.6	111	105	84	59	107	68	78	71	67	13	39	47	32	48	69
SELENBP1	2005	1857	1689	1864	2318	1631	1534	2014	1644	2265	1170	2346	4859	2019	3073
PSMB4	6693	5935	5556	5108	5782	4244	5282	5410	4974	5434	7250	6381	8326	6960	7932
POGZ	4698	4289	4042	3529	4898	4069	3988	4401	4672	3154	2760	2365	3030	2878	2746
RNY4P25	9	8	7	7	8	5	9	5	10	3	0	2	9	2	5
CGN	198	162	181	38	53	32	40	59	79	24	14	28	15	22	15
TUFT1	256	265	230	114	131	115	119	112	125	95	72	51	107	93	77
RP11-74C1.4	3	0	1	0	2	4	0	2	4	1	1	0	0	2	0
MIR554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-74C1.2	11	9	4	9	15	8	23	15	21	1	4	4	7	5	6
RP11-404E16.1	1	0	2	0	0	0	1	0	0	3	0	2	1	1	0
SNX27	6104	5365	4977	3430	4769	3723	3480	4637	4369	5440	6298	3934	5066	5407	4144
RNU6-1062P	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
RP11-98D18.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CELF3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
RIIAD1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0
RNU6-662P	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RP11-98D18.15	0	3	1	2	0	1	0	1	0	0	2	0	0	0	1
RP11-98D18.7	1	2	1	0	0	0	1	0	0	0	1	0	0	0	1
MRPL9	780	677	700	387	453	393	381	509	379	231	356	263	421	465	360
OAZ3	30	29	26	25	37	13	29	18	29	14	24	16	22	41	33
RP11-98D18.3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
RP11-98D18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-98D18.16	0	3	1	0	0	1	2	0	0	0	0	0	0	0	0
TDRKH	1314	1172	1107	709	1080	866	611	1053	855	485	656	638	780	732	823
RP11-98D18.9	21	19	15	19	21	17	10	23	14	5	15	16	7	11	15
RP11-98D18.17	3	1	2	1	0	0	0	0	0	1	5	4	6	9	6
LINGO4	0	0	0	0	0	1	0	0	0	0	8	0	0	3	0
RORC	35	31	22	23	20	17	12	16	14	7	26	0	1	12	3
C2CD4D	3	1	0	2	0	0	0	2	1	0	0	0	0	0	0
AL450992.2	13	12	12	8	7	10	3	7	7	1	1	1	0	1	2
THEM5	7	5	11	5	3	5	3	5	5	1	0	0	4	1	3
THEM4	495	428	338	485	475	421	496	466	446	324	546	385	535	565	529
KRT8P28	4	1	1	0	0	0	0	2	0	0	0	0	2	0	0
S100A10	9066	7917	7600	4178	6944	4870	2959	5490	4784	2617	2328	2833	3742	2203	3350
AL591893.1	3	2	5	2	5	7	5	4	4	0	0	1	0	0	0
AL450992.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A11	9671	8703	8200	6438	7513	6130	5362	6831	6600	10883	10760	9945	16137	10726	11548
SPTLC1P4	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0
TCHHL1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0
TCHH	2	7	8	9	4	14	6	3	4	26	31	34	25	38	27
AL589986.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDHD1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPTN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FLG-AS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RP11-107M16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRNR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGN3P1	2	1	3	1	1	2	0	0	6	1	0	0	1	0	0
CRNN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE5A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL135842.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRCT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE3A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RP1-52J10.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-43O17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-43O17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KPRP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE6A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMCP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IVL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RP1-20N18.4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SPRR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR2E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR2F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRR2G	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0
RP1-140J1.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LELP1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
PRR9	44	51	38	13	19	16	8	11	20	8	16	50	350	90	145
RP1-140J1.4	1	4	1	1	1	1	0	7	3	0	0	0	7	0	0
LOR	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
PGLYRP3	13	18	12	2	9	10	2	21	14	0	3	1	5	5	6
PGLYRP4	50	61	49	15	80	39	24	76	45	15	10	25	29	41	21
RNU6-160P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A9	4	3	1	27	10	9	11	19	18	3193	5481	3766	5214	4542	3044
S100A12	0	0	0	0	0	1	0	1	2	299	295	262	551	206	172
AL591704.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A8	0	0	0	50	54	43	55	54	55	12850	15815	13328	22216	11232	11075
AL591704.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL591704.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A7L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL44P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BX470102.3	2	2	2	2	7	1	0	6	2	5	2	1	6	2	4
S100A6	3861	3388	3329	2158	2097	1614	1337	1770	1576	4739	4679	6936	8170	4596	8185
S100A5	3	2	1	1	2	1	2	6	0	8	8	6	9	11	11
S100A4	2184	1870	1829	1452	2510	1631	1100	2783	1997	9024	16838	23038	18322	19081	28617
S100A3	598	512	439	217	342	243	102	350	263	30	27	54	47	55	67
S100A2	37	27	30	24	50	11	22	22	21	17	16	21	29	14	38
S100A16	8806	7892	7488	8647	10138	7459	7342	7813	7129	367	138	97	469	147	66
S100A14	4045	3611	3313	13	4	1	14	3	4	0	2	0	0	0	0
S100A13	1441	1322	1217	630	829	681	558	780	715	142	156	139	206	166	167
RP1-178F15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A1	4	3	2	1	1	2	0	2	0	6	3	2	5	0	3
RP1-178F15.4	0	3	1	1	0	1	0	3	0	1	0	0	0	0	1
CHTOP	1047	913	775	448	496	405	443	490	429	284	479	412	494	569	481
SNAPIN	834	732	713	512	605	440	487	542	434	408	680	523	797	784	704
ILF2	21690	19787	18142	20244	22781	17261	20163	20536	19654	11008	15585	12841	16823	15236	16236
NPR1	773	749	659	343	395	283	226	423	311	2	3	3	6	1	1
MIR8083	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL372P	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GEMIN2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INTS3	504	491	489	271	320	248	287	338	304	113	115	135	162	185	147
RP11-216N14.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-216N14.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL513523.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC27A3	99	88	68	42	41	44	37	53	43	23	17	13	23	16	13
RP11-216N14.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATAD2B	27	19	25	19	25	20	17	24	15	12	29	28	13	21	32
RP11-216N14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-759F5.1	27	22	19	14	23	21	13	26	28	23	26	24	33	24	31
DENND4B	596	603	554	453	307	307	498	492	400	519	729	648	730	943	732
CRTC2	839	698	750	818	902	737	779	848	793	652	943	845	974	1179	1031
SLC39A1	4506	4146	3815	2054	2684	2448	2127	3080	2674	1242	2436	1691	1936	2801	1907
MIR6737	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
RP11-422P24.12	11	11	9	12	13	13	9	7	23	8	14	8	7	6	6
RP11-422P24.10	8	6	3	5	9	9	3	5	5	2	4	2	5	4	4
CREB3L4	576	515	465	513	741	588	665	735	636	259	349	348	364	378	417
JTB	658	548	477	192	331	320	232	375	333	267	721	595	590	809	712
RP11-422P24.11	43	49	37	59	32	53	57	38	51	49	51	61	70	62	78
RAB13	2687	2434	2246	3357	3951	2906	2615	3248	2905	774	1187	936	1165	1101	1086
RPS27	450	395	342	276	279	257	323	262	274	134	162	220	222	198	299
NUP210L	12	9	6	17	39	18	17	32	14	20	29	20	15	33	35
RP11-422P24.9	2	13	4	6	5	1	4	3	2	2	2	4	2	2	5
RNU6-179P	0	0	0	2	1	1	0	1	0	0	2	4	1	0	3
RPS7P2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
MIR5698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPM3	18549	16725	15469	11166	15229	11428	10543	14433	12867	12250	14744	11685	16771	15741	14284
RN7SL431P	2	5	3	2	1	3	1	1	1	2	1	0	2	2	0
MIR190B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf189	1	0	0	1	1	2	1	0	1	1	1	0	0	0	1
C1orf43	4506	4168	3909	2674	2953	2361	2595	3292	2618	2378	2903	2543	3309	3592	3216
UBAP2L	9602	8891	8383	5326	7452	5952	5791	7177	6990	5654	6843	6233	7051	7585	7041
AL590431.1	2	4	3	3	3	4	1	8	3	6	11	4	8	4	3
HAX1	2036	1806	1854	2124	2181	1528	1860	1879	1761	2391	2490	2222	3046	2591	2710
SNORD59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-239P	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
RNU6-121P	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RP11-137P24.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AQP10	31	23	24	7	13	9	9	19	11	76	95	120	207	228	186
ATP8B2	405	335	327	499	420	490	517	444	383	103	225	331	306	364	395
RP11-350G8.4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
RP11-350G8.3	6	1	1	1	1	0	3	1	0	4	1	0	1	0	1
RP11-350G8.5	1	2	2	2	0	3	1	0	0	4	12	5	8	6	2
IL6R	60	47	46	36	25	29	34	39	18	418	1176	444	494	900	464
PSMD8P1	4	4	4	2	0	2	1	1	1	0	3	2	4	1	2
SHE	2369	2140	2078	1593	1589	1674	1164	990	1118	49	21	14	46	15	21
RP11-350G8.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDRD10	315	273	263	280	195	195	300	284	306	7	11	3	3	12	4
UBE2Q1	426	387	320	327	339	300	353	344	316	287	270	275	427	378	365
UBE2Q1-AS1	1	1	1	0	0	1	2	0	3	0	0	0	0	0	0
CHRNB2	1	4	1	0	8	1	1	6	4	0	1	1	5	1	1
RP11-61L14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAR	6649	6093	5627	3346	4595	3851	3974	4616	4331	2612	3534	3383	3594	4040	3762
AL606500.1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0
KCNN3	112	100	83	105	93	103	217	114	167	91	85	93	140	109	81
PMVK	1187	1075	1007	758	903	698	704	866	768	474	1112	860	922	1075	954
RP11-307C12.13	1	1	1	6	4	5	8	7	9	1	4	2	6	1	3
PBXIP1	216	173	191	141	207	134	117	130	153	146	139	199	206	168	215
PYGO2	300	235	230	196	210	197	195	224	198	165	173	179	242	248	217
RP11-307C12.12	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
SHC1	5132	4644	4334	1446	2317	2010	1640	2827	2216	382	538	468	629	917	474
