gene	inverseRank
CEL	-0.29
PHC3	-0.29
MOCOS	-0.29
C10orf105	-0.29
FAM76A	-0.29
STX7	-0.29
CPT1A	-0.29
MAMDC4	-0.29
DRG2	-0.29
TM6SF2	-0.29
INCENP	-0.29
MAMDC2	-0.29
ZNF763	-0.29
NIPAL1	-0.29
SLC22A18	-0.29
TBC1D12	-0.29
PSMD14	-0.29
THOC5	-0.29
CPSF2	-0.29
PCMTD2	-0.29
WASF2	-0.29
SNRNP25	-0.29
CYB5RL	-0.29
AAAS	-0.29
ELOVL2	-0.29
SDE2	-0.29
INHBC	-0.29
ERI1	-0.29
S100A1	-0.29
RBM11	-0.29
TMEM25	-0.29
PPP3R2	-0.29
RDH14	-0.29
GJA3	-0.29
CD14	-0.29
TCP1	-0.29
VPS54	-0.29
NQO2	-0.29
RPL35	-0.29
MS4A4E	-0.29
COL2A1	-0.29
NDUFB8	-0.29
SERPINB9	-0.29
IRS2	-0.29
C15orf40	-0.29
ZNF215	-0.29
SULF2	-0.29
UBC	-0.29
KDELR2	-0.29
DENND1A	-0.29
SH3BP5L	-0.29
KCNA2	-0.29
HR	-0.29
CCDC62	-0.29
COX14	-0.29
WDR70	-0.29
MYH15	-0.29
ATP6V0E1	-0.29
ACTB	-0.29
THAP9	-0.29
RAD23B	-0.29
RASSF8	-0.29
ETF1	-0.29
HSD17B13	-0.29
MTHFD1L	-0.29
SNX18	-0.28
IL20RA	-0.28
RPS25	-0.28
CCDC70	-0.28
IGSF5	-0.28
PTPMT1	-0.28
DSTYK	-0.28
TRIAP1	-0.28
MT1F	-0.28
NFE2L2	-0.28
MORN3	-0.28
CCDC186	-0.28
TOP3B	-0.28
SSH1	-0.28
CHMP2A	-0.28
CLTB	-0.28
BLOC1S2	-0.28
FAM83C	-0.28
MYBPH	-0.28
NOXA1	-0.28
CBS	-0.28
DYRK3	-0.28
MRPL12	-0.28
ARHGEF28	-0.28
HCN3	-0.28
VSTM1	-0.28
COPZ2	-0.28
MASTL	-0.28
GPR141	-0.28
PARL	-0.28
MSN	-0.28
ETAA1	-0.28
IGBP1	-0.28
ACCSL	-0.28
DDN	-0.28
SYBU	-0.28
IFI30	-0.28
RRP9	-0.28
GFOD1	-0.28
AC013477.1	-0.28
PSKH2	-0.28
ACTG2	-0.28
MRM1	-0.28
TMUB2	-0.28
SLC48A1	-0.28
SLFN11	-0.28
MBOAT4	-0.28
NXT2	-0.28
CDC73	-0.28
VEPH1	-0.28
CSNK1A1	-0.28
ABHD15	-0.28
ECSCR	-0.28
EIF5AL1	-0.28
FNBP1L	-0.28
SIRT3	-0.28
EIF1AD	-0.28
STX16	-0.28
RPL32	-0.28
LAMP2	-0.28
ZNF768	-0.28
ENOX1	-0.28
NUP107	-0.28
AMD1	-0.28
LRRC55	-0.28
AKAP3	-0.28
MTUS2	-0.28
PCDHA9	-0.28
DUSP10	-0.28
TRAT1	-0.28
MAPK11	-0.28
METTL3	-0.28
KREMEN1	-0.28
PAX8	-0.28
CCDC59	-0.28
PPP6R3	-0.28
AP1S1	-0.28
TMBIM4	-0.28
KCNMB4	-0.28
EID2	-0.28
KANK4	-0.28
NDUFAF5	-0.28
SCARB2	-0.28
SUCNR1	-0.28
TRIM32	-0.28
ATP10B	-0.28
UBR2	-0.28
C4orf47	-0.28
WBP2NL	-0.28
CDKN1B	-0.28
NEDD4	-0.28
FASTKD3	-0.28
AFP	-0.28
FAM217A	-0.28
E2F2	-0.28
ZNF284	-0.28
PDCD6	-0.28
CDH6	-0.28
PIGK	-0.28
CDK15	-0.28
MTMR2	-0.28
NPR2	-0.28
GMPPB	-0.28
C1QTNF9	-0.28
VPS36	-0.28
FOXJ1	-0.28
BHMT2	-0.28
SYCP3	-0.28
COL27A1	-0.28
UCP2	-0.28
B4GALT3	-0.27
KIN	-0.27
PF4V1	-0.27
KLF9	-0.27
CEP63	-0.27
ADAMTS13	-0.27
NAT2	-0.27
SEMA3C	-0.27
DET1	-0.27
POPDC3	-0.27
IRX5	-0.27
PCSK4	-0.27
DPCD	-0.27
TMEM258	-0.27
HCAR3	-0.27
DCUN1D4	-0.27
TBCA	-0.27
FABP4	-0.27
NUDT19	-0.27
IFNW1	-0.27
ZFP1	-0.27
SNX8	-0.27
MYSM1	-0.27
DGAT2	-0.27
TMEM41B	-0.27
CCL3L3	-0.27
GTF2H1	-0.27
SHMT2	-0.27
CDR1	-0.27
ZNF444	-0.27
NLGN3	-0.27
ZNF766	-0.27
CCNG2	-0.27
AQP7	-0.27
SMARCD2	-0.27
GSN	-0.27
ZNF563	-0.27
ZBTB6	-0.27
GNPDA2	-0.27
ELP4	-0.27
NDUFAF1	-0.27
OPA3	-0.27
GRIN2D	-0.27
C3orf20	-0.27
IFNG	-0.27
SCRT2	-0.27
KIAA1217	-0.27
SCFD1	-0.27
BTD	-0.27
BRICD5	-0.27
FARSB	-0.27
RTEL1	-0.27
SEC11A	-0.27
COL4A5	-0.27
CIB2	-0.27
UBE2E3	-0.27
UBASH3A	-0.27
SPEF2	-0.27
OR2D2	-0.27
IDH3G	-0.27
KCNIP4	-0.27
ARL4D	-0.27
TNFSF15	-0.27
GIPC2	-0.27
TAF7	-0.27
CBX2	-0.27
SPDYA	-0.27
CNTD1	-0.27
MBNL2	-0.27
PTCD1	-0.27
ZNF250	-0.27
GLE1	-0.27
UNC5B	-0.27
ZG16B	-0.27
CCT3	-0.27
TMEM208	-0.27
CPN1	-0.27
NDUFB10	-0.27
SRSF3	-0.27
EFHD2	-0.27
MAGEC3	-0.27
SCLT1	-0.27
PCYOX1	-0.27
TRMT10A	-0.27
SMARCE1	-0.27
MFSD5	-0.27
CHCHD1	-0.27
EGLN2	-0.27
CHRAC1	-0.27
MPDU1	-0.27
ANKH	-0.27
TMEM237	-0.26
CYP26C1	-0.26
ATG3	-0.26
PFKFB3	-0.26
SNX15	-0.26
CLIP3	-0.26
YIPF6	-0.26
TMEM167A	-0.26
ATOH7	-0.26
OR51B2	-0.26
TMEM243	-0.26
NANOS1	-0.26
RHOF	-0.26
NNMT	-0.26
GPR75	-0.26
FCGRT	-0.26
ZDHHC19	-0.26
CFHR3	-0.26
CPOX	-0.26
UGGT1	-0.26
LRFN3	-0.26
CBLL1	-0.26
ANKRD13B	-0.26
APOO	-0.26
MYO1B	-0.26
RPL31	-0.26
XKR5	-0.26
UBL3	-0.26
RGMA	-0.26
REM2	-0.26
SLC6A4	-0.26
PRR9	-0.26
ANKRD29	-0.26
PGA3	-0.26
CLEC3B	-0.26
DCUN1D1	-0.26
GLMP	-0.26
GSTZ1	-0.26
ARL6IP1	-0.26
MPEG1	-0.26
LRRC37A3	-0.26
TTC30B	-0.26
CSF2RB	-0.26
SUMO2	-0.26
CYP27C1	-0.26
CLCA2	-0.26
SCTR	-0.26
SOCS5	-0.26
PRPF38A	-0.26
SPAG1	-0.26
NDST3	-0.26
CAMLG	-0.26
FNTA	-0.26
RNF4	-0.26
PET100	-0.26
NTNG2	-0.26
MRPL23	-0.26
MFAP5	-0.26
GPALPP1	-0.26
RASGRF1	-0.26
CYP2D6	-0.26
EAPP	-0.26
TAF5L	-0.26
IQCD	-0.26
IL10RA	-0.26
TMEM70	-0.26
AQP6	-0.26
GZMA	-0.26
EEA1	-0.26
PCDHGA10	-0.26
MRPS11	-0.26
RAB1A	-0.26
DNM1L	-0.26
GDI1	-0.26
EME1	-0.26
ZNF555	-0.26
SNTN	-0.26
SNTB2	-0.26
NEXN	-0.26
TMEM179B	-0.26
BMP3	-0.26
MBLAC1	-0.26
RPL27A	-0.26
SLC22A6	-0.26
DCSTAMP	-0.26
RAB22A	-0.26
MAGIX	-0.26
BMP6	-0.26
BIN3	-0.26
CLEC14A	-0.26
ASL	-0.26
EID1	-0.26
CYTH1	-0.26
ZDHHC16	-0.26
ZNF12	-0.26
D2HGDH	-0.25
PPOX	-0.25
ALKBH6	-0.25
RAB11FIP5	-0.25
MGLL	-0.25
CDPF1	-0.25
SNED1	-0.25
ZNF534	-0.25
KLHL29	-0.25
ZNF320	-0.25
SPATA9	-0.25
USO1	-0.25
DNASE1L3	-0.25
ZFX	-0.25
TOR3A	-0.25
PSIP1	-0.25
NPAS4	-0.25
QTRT1	-0.25
DNAJA4	-0.25
ABCD1	-0.25
ZNF174	-0.25
TCOF1	-0.25
HSDL2	-0.25
UFM1	-0.25
SLC16A11	-0.25
MYBL2	-0.25
ZNF341	-0.25
ACOT12	-0.25
TGFBR3	-0.25
SULT1B1	-0.25
NBPF19	-0.25
GFOD2	-0.25
ATP6V0D1	-0.25
RHAG	-0.25
ACYP2	-0.25
RELN	-0.25
PMVK	-0.25
MCU	-0.25
RPL41	-0.25
SHOC2	-0.25
LRRC14	-0.25
LMLN	-0.25
PHACTR4	-0.25
RSPH1	-0.25
NAA10	-0.25
BTBD18	-0.25
MICU3	-0.25
SLC25A26	-0.25
CD86	-0.25
FOLR2	-0.25
ARMC10	-0.25
SH3GL3	-0.25
ERAL1	-0.25
PPIL3	-0.25
C17orf75	-0.25
BAHCC1	-0.25
C2orf49	-0.25
COX18	-0.25
SNX25	-0.25
NRIP3	-0.25
TNFSF14	-0.25
CALCOCO1	-0.25
OSBPL2	-0.25
RHOC	-0.25
ZFYVE16	-0.25
FBXO5	-0.25
CMTM1	-0.25
FAM204A	-0.25
TOP1	-0.25
ESRRB	-0.25
CAST	-0.25
OR5H6	-0.25
C1orf115	-0.25
ENDOU	-0.25
PAOX	-0.25
CSRP3	-0.25
ZNF497	-0.25
RPL24	-0.25
C14orf132	-0.25
RPL6	-0.25
HOXD8	-0.25
PAQR7	-0.24
ZNF438	-0.24
SLC52A3	-0.24
PHF7	-0.24
NANOG	-0.24
ACSM6	-0.24
P2RY6	-0.24
TJP2	-0.24
RNF144A	-0.24
SLC25A12	-0.24
NAP1L1	-0.24
LCMT2	-0.24
MSGN1	-0.24
LRRC4B	-0.24
UGP2	-0.24
INO80C	-0.24
LRRC46	-0.24
NPHP1	-0.24
CD163	-0.24
SWT1	-0.24
AGTR2	-0.24
KCNS3	-0.24
KCNE1	-0.24
ERRFI1	-0.24
PEX19	-0.24
ATXN3	-0.24
KCNQ5	-0.24
TADA1	-0.24
ABCB6	-0.24
VANGL2	-0.24
DHRS4L2	-0.24
ZNF354C	-0.24
IL13RA2	-0.24
SLC22A1	-0.24
PDE7B	-0.24
DPM3	-0.24
PPP5C	-0.24
MORC4	-0.24
GBA	-0.24
PSMD11	-0.24
MAP4K5	-0.24
GRIN2A	-0.24
SMC4	-0.24
MS4A6E	-0.24
GJB5	-0.24
FAM166B	-0.24
SCOC	-0.24
OAS1	-0.24
BLVRA	-0.24
ETV7	-0.24
SLC17A1	-0.24
TTC31	-0.24
BRPF3	-0.24
AKR1E2	-0.24
GRAP	-0.24
ZNF680	-0.24
ARL13A	-0.24
DHDH	-0.24
C12orf56	-0.24
HSD17B7	-0.24
FAM193A	-0.24
PTPRN2	-0.24
ASCC3	-0.24
SYTL3	-0.24
DDX25	-0.24
LPCAT2	-0.24
KIF15	-0.24
VDAC1	-0.24
BRMS1L	-0.24
PSMA7	-0.24
TDG	-0.24
GPATCH1	-0.24
BEX1	-0.24
FRMPD2	-0.24
ZNF280D	-0.24
WDR83	-0.24
ARL16	-0.24
TST	-0.24
MAPK8	-0.24
SLC1A2	-0.24
IFFO2	-0.24
ZMYND10	-0.24
LRP10	-0.24
PIWIL1	-0.24
F3	-0.24
ISY1	-0.24
PCYT1A	-0.24
DDHD1	-0.24
CLK1	-0.24
ANKK1	-0.24
EFHC1	-0.24
AOAH	-0.24
HIGD1B	-0.24
SMURF2	-0.24
GAS7	-0.23
WDR41	-0.23
CRYZ	-0.23
NELFCD	-0.23
QDPR	-0.23
WDR82	-0.23
MCF2	-0.23
DCP1B	-0.23
DAND5	-0.23
TAF5	-0.23
UBAP1L	-0.23
SLC10A7	-0.23
TMED7	-0.23
FRYL	-0.23
IGSF11	-0.23
ZNF559	-0.23
ZGPAT	-0.23
PDCD6IP	-0.23
CLEC4A	-0.23
TIMM21	-0.23
C3orf38	-0.23
PSMD7	-0.23
RFESD	-0.23
ITGAL	-0.23
CLEC6A	-0.23
CA12	-0.23
SPAG6	-0.23
PCDHGA12	-0.23
KCND3	-0.23
B3GLCT	-0.23
TRDMT1	-0.23
PPFIBP1	-0.23
FKBPL	-0.23
MYO1H	-0.23
CALCOCO2	-0.23
NEK3	-0.23
CABP1	-0.23
FBXO45	-0.23
FBXL13	-0.23
TMED6	-0.23
LRFN2	-0.23
MUC16	-0.23
OR13C3	-0.23
CDC40	-0.23
USP8	-0.23
COCH	-0.23
LOXL4	-0.23
ARR3	-0.23
ZMPSTE24	-0.23
CYB561D2	-0.23
TLR4	-0.23
DUSP12	-0.23
CCDC159	-0.23
GSTM4	-0.23
OTC	-0.23
NME7	-0.23
KLF17	-0.23
CLK2	-0.23
AK5	-0.23
CARTPT	-0.23
UGT2A1	-0.23
ZCCHC17	-0.23
LMO2	-0.23
FTCDNL1	-0.23
RPL10A	-0.23
COX17	-0.23
RTF1	-0.23
DYNLL2	-0.23
ZYG11A	-0.23
APELA	-0.23
ZNF2	-0.23
TMEM102	-0.23
ZSCAN23	-0.23
LRP12	-0.23
UBE2A	-0.23
NDUFAF7	-0.23
ACD	-0.23
TRDN	-0.23
DPY19L4	-0.23
DNAL4	-0.23
VEZT	-0.23
ARHGEF38	-0.23
SEPHS1	-0.23
NOTCH2	-0.23
TM2D3	-0.23
NCR2	-0.23
SCPEP1	-0.23
RNF2	-0.23
ZNF90	-0.22
LONRF2	-0.22
ABCC2	-0.22
ETV3	-0.22
SRI	-0.22
CDH13	-0.22
CTH	-0.22
EGR4	-0.22
GLOD4	-0.22
STK19	-0.22
CNBD1	-0.22
CTRB2	-0.22
SPATA2L	-0.22
TTC9	-0.22
EIF2A	-0.22
APP	-0.22
GIP	-0.22
PHKG1	-0.22
FMO5	-0.22
ASAH2	-0.22
ARL13B	-0.22
HSPB1	-0.22
ZNF878	-0.22
TRUB2	-0.22
DUSP28	-0.22
HGH1	-0.22
HPGDS	-0.22
MUC19	-0.22
CACNA1G	-0.22
KCNMA1	-0.22
EIF3L	-0.22
CDK5RAP1	-0.22
HIRIP3	-0.22
SERTAD1	-0.22
ZNF749	-0.22
ALLC	-0.22
LHFPL5	-0.22
MROH6	-0.22
NTF4	-0.22
PLCZ1	-0.22
PNLIPRP1	-0.22
RTN4RL1	-0.22
RNF113B	-0.22
TECR	-0.22
CBR3	-0.22
FCER1A	-0.22
HOXD10	-0.22
OCA2	-0.22
OR52E8	-0.22
PANX2	-0.22
TRIL	-0.22
DPRX	-0.22
SRRD	-0.22
AZU1	-0.22
CD300LB	-0.22
OR5B21	-0.22
PRSS33	-0.22
USP17L2	-0.22
OR52N1	-0.22
PDE6B	-0.22
MED11	-0.22
KLK1	-0.22
ADRA1B	-0.22
BEST2	-0.22
SNAPC5	-0.22
CIAPIN1	-0.22
KIAA1191	-0.22
GPR78	-0.22
OR2AG1	-0.22
PROKR2	-0.22
RNASE7	-0.22
SLC26A9	-0.22
JUN	-0.22
NEK1	-0.22
BMP15	-0.22
CRH	-0.22
PRKAG3	-0.22
SIGLEC5	-0.22
SLC6A14	-0.22
WFDC10B	-0.22
SENP2	-0.22
SCNM1	-0.22
SPATA12	-0.22
ORAI2	-0.22
FUNDC2	-0.22
DNAJC14	-0.22
EXOSC2	-0.22
POLR2K	-0.22
FGB	-0.22
HSPA13	-0.22
CHST2	-0.22
MSL3	-0.22
HOOK3	-0.22
PYROXD1	-0.22
ITSN2	-0.22
FBXO6	-0.22
NGDN	-0.22
EPHB6	-0.22
XRCC4	-0.22
ZNF197	-0.22
TLR2	-0.22
PPP1R15B	-0.22
IFITM3	-0.22
STXBP3	-0.22
RPL34	-0.22
CCDC149	-0.22
AMACR	-0.22
POLA1	-0.22
MTUS1	-0.22
CRIP3	-0.22
NCKAP1L	-0.22
TRPM6	-0.22
DCLK2	-0.22
OSR1	-0.22
ERICH5	-0.22
CISD3	-0.22
ZNF213	-0.22
BNIPL	-0.22
ALX1	-0.22
XYLB	-0.22
GATA5	-0.22
RWDD3	-0.22
CD151	-0.22
MRPL54	-0.22
RNF166	-0.22
DMC1	-0.22
PHACTR3	-0.22
TAT	-0.22
USP28	-0.22
ZNF718	-0.22
FAM156A	-0.22
DDA1	-0.22
GRPEL1	-0.21
SNX14	-0.21
STARD6	-0.21
SUN2	-0.21
SPATS2	-0.21
CRLF3	-0.21
MEIS1	-0.21
ACTR3C	-0.21
FTSJ1	-0.21
PRKRA	-0.21
SNX21	-0.21
TTC39B	-0.21
HK3	-0.21
ARHGEF39	-0.21
COL8A1	-0.21
TBX10	-0.21
FBXL4	-0.21
ABCD3	-0.21
MBD1	-0.21
FBXO16	-0.21
TMED4	-0.21
OGG1	-0.21
POFUT2	-0.21
HPS6	-0.21
MKX	-0.21
PLCD1	-0.21
C16orf74	-0.21
PPM1D	-0.21
BMPR2	-0.21
GYPE	-0.21
FBXL7	-0.21
CNTN6	-0.21
FAM3D	-0.21
SAMD11	-0.21
GADL1	-0.21
PSPH	-0.21
ELF3	-0.21
RPS6KC1	-0.21
RAB11FIP1	-0.21
TCEA3	-0.21
PPP1R3G	-0.21
LSAMP	-0.21
PEX11G	-0.21
POLN	-0.21
CD244	-0.21
CATSPER1	-0.21
GRB2	-0.21
MGARP	-0.21
C19orf73	-0.21
NEK6	-0.21
NDEL1	-0.21
IL18BP	-0.21
FXYD5	-0.21
ZNF682	-0.21
PTCH1	-0.21
DSG2	-0.21
CBLN3	-0.21
UCP3	-0.21
PSD2	-0.21
SLIT3	-0.21
GBP5	-0.21
FGF6	-0.21
SAMD8	-0.21
LRRC75A	-0.21
SMN2	-0.21
TMEM214	-0.21
CHST14	-0.21
DDX31	-0.21
FAM104B	-0.21
SLITRK5	-0.21
GDF15	-0.21
MTHFSD	-0.21
ZNF114	-0.21
EPDR1	-0.21
MRPS10	-0.21
ZNF333	-0.21
PPP1R14B	-0.21
BCKDHA	-0.21
HVCN1	-0.21
DEFA4	-0.21
HINFP	-0.21
PNRC1	-0.21
MCRS1	-0.21
ITGA2	-0.21
AGMO	-0.21
RPS19BP1	-0.21
LCORL	-0.21
NPFFR2	-0.21
HIC2	-0.21
GRIK1	-0.21
SPRYD4	-0.21
RPS9	-0.21
C19orf12	-0.21
PRKG2	-0.21
HDAC1	-0.21
PTPN3	-0.21
RILP	-0.21
MZB1	-0.21
SLC35A5	-0.21
RPL7L1	-0.21
PRSS27	-0.21
HDAC5	-0.21
PHKB	-0.21
TMX3	-0.21
TIPIN	-0.21
NT5DC2	-0.21
SHKBP1	-0.21
PCDH11X	-0.21
METTL14	-0.21
ARSD	-0.21
C3orf80	-0.21
RPS28	-0.21
ZNF720	-0.21
PCF11	-0.21
AKR1C2	-0.21
TSPYL1	-0.21
PPIAL4A	-0.20
PIK3C2A	-0.20
PKIG	-0.20
EMC9	-0.20
CNTNAP4	-0.20
SMIM20	-0.20
NSMCE1	-0.20
SPAG16	-0.20
TERF1	-0.20
ZMAT3	-0.20
CDNF	-0.20
RTN2	-0.20
PLXNA2	-0.20
RBM3	-0.20
OR8S1	-0.20
UAP1L1	-0.20
FAM76B	-0.20
LRRN4	-0.20
PPCS	-0.20
CAMK1	-0.20
PTPN20	-0.20
EPGN	-0.20
BCL2L14	-0.20
ZNF823	-0.20
NAGPA	-0.20
C11orf1	-0.20
JDP2	-0.20
IFI44	-0.20
TMEM219	-0.20
CMC1	-0.20
FAM43B	-0.20
PARG	-0.20
KCNH2	-0.20
MAP6	-0.20
GPN2	-0.20
ZG16	-0.20
IRF6	-0.20
RBMX2	-0.20
SLC25A40	-0.20
KIF22	-0.20
COMMD1	-0.20
THRAP3	-0.20
ARV1	-0.20
C5orf58	-0.20
TMEM199	-0.20
OGN	-0.20
ERCC4	-0.20
POU6F2	-0.20
SRSF12	-0.20
MAP3K10	-0.20
PLA2G7	-0.20
RS1	-0.20
DNAJC5G	-0.20
DDX6	-0.20
INPP5A	-0.20
MICU1	-0.20
SEC23B	-0.20
MTFMT	-0.20
CHMP3	-0.20
FAM114A2	-0.20
ZNF20	-0.20
CACNA1H	-0.20
AHNAK2	-0.20
SS18L2	-0.20
LYRM4	-0.20
RNASEH2B	-0.20
DDX52	-0.20
TNK2	-0.20
LRRC34	-0.20
EZH1	-0.20
ANKRD1	-0.20
APOBEC3G	-0.20
PSPC1	-0.20
KRT7	-0.20
ATP1B3	-0.20
AKAP7	-0.20
ADCY8	-0.20
SAMD4A	-0.20
CA4	-0.20
NBPF10	-0.20
KCND2	-0.20
MED17	-0.20
HSD17B14	-0.20
TUBA3E	-0.20
TNXB	-0.20
JADE1	-0.20
DHX35	-0.20
TGM4	-0.20
RNF222	-0.20
GALNT5	-0.20
LYZL4	-0.20
TACSTD2	-0.20
HOXD13	-0.20
KYNU	-0.20
FAM124A	-0.20
KIAA0930	-0.20
RIMKLA	-0.20
SLC22A2	-0.20
MTNR1B	-0.20
CPA2	-0.20
ZNF483	-0.20
ERLIN2	-0.20
NUP210L	-0.20
TMEM9B	-0.19
CALR	-0.19
ABCA1	-0.19
IGFL2	-0.19
SCG2	-0.19
C1orf131	-0.19
CATSPERD	-0.19
PRIMPOL	-0.19
PIN4	-0.19
C9orf16	-0.19
CACNA1I	-0.19
PRMT8	-0.19
SMAD5	-0.19
CPNE9	-0.19
SLC9A6	-0.19
ARL6IP5	-0.19
COA5	-0.19
ACR	-0.19
HCST	-0.19
COQ7	-0.19
POF1B	-0.19
NOD2	-0.19
GDF11	-0.19
TIMM23	-0.19
NICN1	-0.19
DDX43	-0.19
HBG1	-0.19
ZNF730	-0.19
COL8A2	-0.19
ZNF16	-0.19
SNRPD1	-0.19
DCLRE1A	-0.19
PCSK7	-0.19
SLC6A17	-0.19
SLC51A	-0.19
ZBTB24	-0.19
SPDYE6	-0.19
UBXN4	-0.19
NGLY1	-0.19
ISOC2	-0.19
ELP5	-0.19
CAPN12	-0.19
ARL6IP4	-0.19
C1orf189	-0.19
VAMP2	-0.19
HBQ1	-0.19
LRRC28	-0.19
ACVRL1	-0.19
TMEM230	-0.19
FKBP7	-0.19
CSDC2	-0.19
GABRA1	-0.19
RGS7BP	-0.19
FRG1	-0.19
PABPC1L	-0.19
AC002456.2	-0.19
DDX47	-0.19
TGFBR2	-0.19
BBS1	-0.19
SARDH	-0.19
LRIT3	-0.19
WFDC3	-0.19
ZNHIT1	-0.19
NISCH	-0.19
TUBG2	-0.19
SHB	-0.19
TBC1D14	-0.19
AP4E1	-0.19
ADCY2	-0.19
CITED4	-0.19
ARHGAP12	-0.19
APOBEC3C	-0.19
AKR1B1	-0.19
CRYBA4	-0.19
NDUFA9	-0.19
TBC1D20	-0.19
SLC30A7	-0.19
B3GNT6	-0.19
PRAP1	-0.19
DAO	-0.19
TMEM119	-0.19
EPOR	-0.19
CTNND1	-0.19
SAAL1	-0.19
DGUOK	-0.19
DHRS7B	-0.19
FAM47A	-0.19
ANKEF1	-0.19
HPCAL1	-0.19
TRPC5OS	-0.19
PRRT1	-0.19
HS3ST5	-0.19
RPL3	-0.19
MAP2K2	-0.19
ZNF251	-0.19
BCL2A1	-0.19
SERPINB10	-0.19
SMNDC1	-0.19
RNF185	-0.19
MIEN1	-0.19
SMARCC2	-0.19
HMGCLL1	-0.19
SNRPD3	-0.19
C21orf58	-0.19
LTBP1	-0.19
METAP1D	-0.19
INPP5B	-0.19
NPHP4	-0.19
KLHL25	-0.19
CLUH	-0.19
SPDYE2	-0.19
RFXANK	-0.19
EHBP1	-0.19
TMEM234	-0.19
CYSTM1	-0.19
NRIP2	-0.19
PIBF1	-0.19
AP3M2	-0.19
KLHL9	-0.19
DHRS12	-0.19
CASQ2	-0.19
RTBDN	-0.19
MLEC	-0.18
FAM89B	-0.18
GRM2	-0.18
CFAP57	-0.18
TSKS	-0.18
RAB21	-0.18
TMEM209	-0.18
C8orf58	-0.18
PPIL4	-0.18
PEX2	-0.18
CCDC51	-0.18
STK11IP	-0.18
MTG1	-0.18
HEMK1	-0.18
TTC7B	-0.18
WDR88	-0.18
AGBL1	-0.18
FGF9	-0.18
IDH3A	-0.18
DCBLD2	-0.18
TSPYL2	-0.18
TMX4	-0.18
ABCC9	-0.18
PCDHGB1	-0.18
PAX9	-0.18
RAB17	-0.18
ANO8	-0.18
KLF5	-0.18
SLC35E1	-0.18
CREB3	-0.18
DCAF11	-0.18
NEFM	-0.18
ABCC3	-0.18
MVB12A	-0.18
ABT1	-0.18
CYS1	-0.18
GRID2IP	-0.18
OR8B3	-0.18
YWHAG	-0.18
SLC25A30	-0.18
PRKRIP1	-0.18
PTRH2	-0.18
FAM135B	-0.18
FAM3B	-0.18
ABHD17C	-0.18
FXYD4	-0.18
KRT35	-0.18
NOL9	-0.18
OSBP2	-0.18
RFPL2	-0.18
MYLK2	-0.18
GAL	-0.18
IQUB	-0.18
CLHC1	-0.18
PDCD5	-0.18
KCNN2	-0.18
TMC5	-0.18
PDCD7	-0.18
KPTN	-0.18
LRIG3	-0.18
GPRC5B	-0.18
FAM72C	-0.18
UBE2D2	-0.18
DHDDS	-0.18
CAB39L	-0.18
SULT2A1	-0.18
EPM2AIP1	-0.18
RPF2	-0.18
INHBA	-0.18
SCARF2	-0.18
MTMR8	-0.18
ANGPT4	-0.18
RHCE	-0.18
DTNBP1	-0.18
CASP8AP2	-0.18
ROBO4	-0.18
PFN2	-0.18
ADH6	-0.18
FLVCR1	-0.18
RIPK2	-0.18
LY86	-0.18
TIMM17B	-0.18
TGFB2	-0.18
MUC17	-0.18
SPRY3	-0.18
TCP11X1	-0.18
SNX5	-0.18
SH3TC1	-0.18
CDC16	-0.18
PXDN	-0.18
DOK2	-0.18
GOT1L1	-0.18
RADIL	-0.18
SCRIB	-0.18
CTBP1	-0.18
KLHL36	-0.18
TMEM245	-0.18
TATDN1	-0.18
PPP2R2A	-0.18
NOL11	-0.18
GATAD2B	-0.18
LRRC36	-0.18
RIMBP2	-0.18
ADGRG5	-0.18
WBP4	-0.18
ZNF383	-0.18
MRFAP1L1	-0.18
CCDC137	-0.18
RAD21	-0.18
TDP1	-0.18
MRPS18B	-0.18
SYN1	-0.18
VSTM5	-0.18
PAPOLB	-0.18
LIPT1	-0.18
AMBRA1	-0.18
CA11	-0.18
EPO	-0.18
CFAP58	-0.18
MT1X	-0.18
VSTM2A	-0.18
NSMF	-0.18
CMTM7	-0.18
C2	-0.18
CA10	-0.18
DNASE2B	-0.18
FAM166A	-0.18
LAD1	-0.18
LCN12	-0.18
MT1G	-0.18
OPRM1	-0.18
OR14K1	-0.18
ZNF746	-0.18
CENPJ	-0.18
TBC1D7	-0.18
ARPP21	-0.18
C18orf63	-0.18
CALML6	-0.18
HBM	-0.18
HES2	-0.18
PLEKHN1	-0.18
PSG3	-0.18
WFDC13	-0.18
MYOZ1	-0.17
MAPK8IP1	-0.17
ZFAND2B	-0.17
THOP1	-0.17
ADGRF1	-0.17
ASCL2	-0.17
CHAD	-0.17
GZMB	-0.17
HIGD2B	-0.17
HUS1B	-0.17
KCNK18	-0.17
LHX9	-0.17
LRRC10B	-0.17
MKRN3	-0.17
NRSN1	-0.17
SLFN12L	-0.17
SPRR2G	-0.17
TEDDM1	-0.17
CHRDL1	-0.17
SLC9C1	-0.17
RNF212B	-0.17
CBWD2	-0.17
CLPP	-0.17
HMCES	-0.17
FAM120C	-0.17
PRPSAP2	-0.17
ANP32E	-0.17
SYMPK	-0.17
SF3A2	-0.17
NAV3	-0.17
PHF1	-0.17
RCAN2	-0.17
ZC3H15	-0.17
C1orf35	-0.17
DCTD	-0.17
SRD5A1	-0.17
MYH3	-0.17
DUOX2	-0.17
NT5C	-0.17
SIAH2	-0.17
GPN1	-0.17
LNX2	-0.17
